"SourceKey","IssueType","Summary","Error","ErrorDetails","Priority","Status","Assignee","Reporter","Created","Updated","Description","SourceURL"
"PLAQ-295","Story","Capture Non-Obligor Details ","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Ready for Work","","Derek Davis","10/25/2024 5:05:36 PM","6/2/2025 2:18:24 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-295"
"PLAQ-547","Story","Indicate in Assets Table that Proof of Insurance requirement is satisfied","Failed to create issue PLAQ-547 even after field removal: Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Ready for Work","Bernard Gray","Bernard Gray","1/6/2025 12:10:35 PM","6/2/2025 2:18:27 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-547"
"PLAQ-1036","Story","PLS Can Request a New Document From the Customer","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","","Colleen Powers","5/2/2025 6:48:11 AM","5/22/2025 4:20:27 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-1036"
"PLAQ-1112","Story","Clean up UI bugs for App Info","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Ready for Work","Zainab Zaki","Zainab Zaki","5/27/2025 9:51:13 AM","5/30/2025 2:02:10 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-1112"
"PLAQ-841","Story","Display a Confirmation Message When Navigating Away from an Active Form","Failed to create issue PLAQ-841 even after field removal: Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","In Progress","Derek Davis","Derek Davis","3/26/2025 4:03:43 PM","6/2/2025 2:17:55 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-841"
"PLAQ-913","Story","Display Error Text When BE Returned an Exception When Saving an Asset","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Refinement","","Paul Donskikh","4/9/2025 1:13:41 PM","6/2/2025 2:17:58 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-913"
"PLAQ-963","Story","Update Counter-Offer Application With Decline Status and Reason","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","High","Ready for Work","Zainab Zaki","Colleen Powers","4/16/2025 9:21:24 AM","5/30/2025 2:02:28 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-963"
"PLAQ-973","Story","Lock Catalyst UI for Declined Applications","Failed to create issue PLAQ-973 even after field removal: Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Ready for Work","David Liang","Viktoria Conor","4/21/2025 4:58:08 PM","6/19/2025 12:15:35 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-973"
"PLAQ-975","Story","Send Application Decline Information to CLASS From Catalyst","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Ready for Work","Zainab Zaki","Colleen Powers","4/21/2025 5:10:27 PM","6/5/2025 8:12:34 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-975"
"PLAQ-961","Story","Update Additional Fields in App Info from CLASS","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","","Viktoria Conor","4/15/2025 8:07:34 PM","5/16/2025 2:04:07 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-961"
"PLAQ-981","Story","Implement Search  Of Worklist","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Lowest","Backlog","Zainab Zaki","Colleen Powers","4/23/2025 8:47:00 AM","6/3/2025 1:57:31 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-981"
"PLAQ-1111","Story","Implement ability to check whether consent exists","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Refinement","Steven Ettlin","Zainab Zaki","5/23/2025 10:58:30 AM","6/3/2025 12:33:35 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-1111"
"PLAQ-1178","Story","Display Validation Error message below Dropdown","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","","John Goben","5/21/2025 3:54:22 PM","6/2/2025 2:43:09 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-1178"
"PLAQ-1103","Story","Implement New view for Worklist","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Refinement","Zainab Zaki","Zainab Zaki","5/21/2025 10:48:34 AM","5/30/2025 3:31:36 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-1103"
"PLAQ-1048","Story","Allow TM to Update Reason for Loan on App","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Refinement","Zainab Zaki","Colleen Powers","5/13/2025 7:26:28 AM","6/2/2025 2:25:00 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-1048"
"PLAQ-980","Story","Implement Auto Refresh Of Worklist View","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Low","Backlog","","Colleen Powers","4/22/2025 5:07:11 PM","6/3/2025 5:28:57 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-980"
"PLAQ-413","Story","View highlight on updated field value in Asset & Income Details","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Ready for Work","","Bernard Gray","11/22/2024 1:31:47 PM","6/2/2025 2:18:31 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-413"
"PLAQ-416","Story","Ensure that Merchant has been associated on Application Info for Asset with PMV Type of Dealer ","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","","Bernard Gray","12/3/2024 9:47:01 AM","6/2/2025 2:17:48 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-416"
"PLAQ-1035","Story","PLS Can Re-Request a Document","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","","Colleen Powers","5/2/2025 6:47:45 AM","5/22/2025 4:20:33 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-1035"
"PLAQ-987","Story","Update Full Approval Application With Decline Type, Status and Reason","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Ready for Work","Zainab Zaki","Colleen Powers","4/24/2025 11:51:58 AM","5/30/2025 1:29:10 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-987"
"PLAQ-1043","Bug","Dropdown in modals do not display options","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","","Moises Romero","5/7/2025 5:54:19 AM","5/20/2025 4:21:26 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-1043"
